Keyword,Average 5 years interest,Last year vs. last 5 years trend change (%),Trendiness
PPC,11.07,41.55,New and trending
Conversion Rate Optimization,59.06,20.05,Trending
Influencer Marketing,67.17,16.9,Trending
Email Marketing,71.49,16.1,Trending
Digital Analytics,72.89,15.61,Trending
Content Marketing,74.84,10.88,Relatively stable
Social Media Marketing,79.31,7.54,Increasing
Marketing Automation,58.45,5.82,Seasonal/Cyclical
SEO,70.09,0.37,Relatively stable
Mobile Marketing,64.1,-6.4,Relatively stable
